Marital_Status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_(grade),Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,age_admission_ratio,Target_encoded
1,17,5,171,1,1,122.0,19,12,5,9,0.01233897978582333,1,0,0,1,1,0,,0.0,2.0,0.0,0.0,7.399999999999999,0.0,0.0,2.0,0.0,0.0,6.875000005,0.0,10.8,1.4,1.74,-0.4524072438216475,0
1,15,1,9254,1,1,160.0,1,3,3,3,1.0875372562587589,1,0,0,0,1,0,,0.0,6.0,6.0,6.0,14.0,0.0,0.0,6.0,6.0,6.0,13.66666667,0.0,13.9,-0.3,0.79,-0.9157956015076315,1
1,1,5,9070,1,1,122.0,37,37,9,9,-0.1645028420024884,1,0,0,0,1,0,,0.0,6.0,0.0,0.0,7.399999999999999,0.0,0.0,6.0,0.0,0.0,6.875000005,0.0,10.8,1.4,1.74,-0.5472371744837282,0
1,17,2,9773,1,1,122.0,38,37,5,3,-0.532333831322177,1,0,0,1,0,0,,0.0,6.0,8.0,6.0,13.42857143,0.0,0.0,6.0,10.0,5.0,12.4,0.0,9.4,-0.8,-3.12,-0.2552693712039233,1
2,39,1,8014,0,1,102.5,37,38,9,9,1.0168005275434342,0,0,0,1,0,0,1.4371080958761733,0.0,6.0,9.0,5.0,12.33333333,0.0,0.0,6.0,6.0,6.0,13.0,0.0,13.9,-0.3,0.79,1.1686333007335616,1
2,39,1,9991,0,19,133.1,37,37,9,7,-0.8718701291557354,0,0,1,1,1,0,1.4371080958761733,0.0,5.0,10.0,5.0,11.85714286,0.0,0.0,5.0,16.0,5.0,11.5,0.0,16.2,0.3,-0.92,2.2578161109769397,1
1,1,1,9500,1,1,142.0,19,38,7,10,0.0901493813726811,1,0,0,1,0,1,,0.0,7.0,9.0,7.0,13.3,0.0,0.0,8.0,8.0,8.0,14.345,0.0,15.5,2.8,-4.06,-0.7822201728634546,1
1,18,4,9254,1,1,119.0,37,37,9,9,-0.9921225679717876,1,0,0,0,1,0,,0.0,5.0,5.0,0.0,7.399999999999999,0.0,0.0,5.0,5.0,0.0,6.875000005,0.0,15.5,2.8,-4.06,0.27668800574212166,0
1,1,3,9238,1,1,137.0,1,1,9,9,0.15381243721647372,0,0,0,1,0,1,,0.0,6.0,8.0,6.0,13.875,0.0,0.0,6.0,7.0,6.0,14.14285714,0.0,16.2,0.3,-0.92,-0.3490368327655378,1
1,1,1,9238,1,1,138.0,1,19,4,7,-0.29182895369007267,1,0,1,0,0,0,,0.0,6.0,9.0,5.0,11.4,0.0,0.0,6.0,14.0,2.0,13.5,0.0,8.9,1.4,3.51,-0.66226884558875,0
1,1,1,9670,1,1,139.0,38,19,5,7,0.24577018454639463,1,0,0,1,0,0,,0.0,6.0,6.0,6.0,12.33333333,0.0,0.0,6.0,7.0,5.0,14.2,0.0,13.9,-0.3,0.79,-0.8282453971282934,1
1,1,1,9500,1,1,136.0,19,38,9,9,-0.5535548499367742,1,0,0,1,0,1,,0.0,8.0,8.0,7.0,13.21428571,0.0,0.0,8.0,8.0,7.0,13.21428571,0.0,12.7,3.7,-1.7,-0.5738107465516714,1
1,1,2,9853,1,1,133.0,19,37,4,9,0.21747549306026434,1,0,0,1,0,0,,0.0,6.0,6.0,0.0,7.399999999999999,0.0,0.0,6.0,0.0,0.0,6.875000005,0.0,12.7,3.7,-1.7,-0.6703010872797278,0
1,53,1,9254,1,42,110.0,1,1,4,7,-1.0840803153017093,1,0,0,1,0,1,,0.0,6.0,7.0,6.0,10.57142857,0.0,0.0,6.0,8.0,5.0,11.0,0.0,8.9,1.4,3.51,0.14644295521242331,1
1,1,1,9085,1,1,149.0,38,37,5,5,0.7055589211960052,1,0,0,1,0,1,,0.0,5.0,7.0,4.0,13.25,0.0,0.0,5.0,5.0,5.0,12.0,0.0,10.8,1.4,1.74,-0.9555998569500376,1
1,1,1,9773,1,1,127.0,19,37,9,3,-0.45452342973531923,1,0,0,1,0,0,,0.0,6.0,6.0,5.0,13.2,0.0,0.0,6.0,7.0,0.0,6.875000005,0.0,15.5,2.8,-4.06,-0.28497188177823535,0
1,17,2,9500,1,1,135.0,19,1,5,4,0.01233897978582333,1,0,0,1,0,0,,0.0,7.0,8.0,7.0,13.30625,0.0,0.0,8.0,8.0,8.0,14.545,0.0,15.5,2.8,-4.06,-0.7586110044070993,1
1,1,1,9130,1,1,137.0,3,19,3,5,0.6489695382237466,1,0,0,1,0,0,,0.0,5.0,8.0,4.0,12.5,0.0,0.0,5.0,8.0,4.0,12.25,0.0,10.8,1.4,1.74,-0.654596080598542,1
1,1,3,171,1,1,122.0,1,1,9,8,-0.4828181212214495,0,0,0,1,0,1,,0.0,2.0,0.0,0.0,7.399999999999999,0.0,0.0,2.0,0.0,0.0,6.875000005,0.0,11.1,0.6,2.02,-0.11222326541561513,1
1,1,4,9500,1,1,142.0,19,19,1,1,-0.11498713190176092,1,0,0,1,0,0,,0.0,8.0,12.0,7.0,12.85714286,0.0,0.0,8.0,12.0,7.0,12.85714286,0.0,12.7,3.7,-1.7,-0.719085100650252,1
1,1,4,9670,1,1,125.0,1,38,4,7,-0.8647964562842023,1,0,0,1,0,1,,0.0,6.0,8.0,6.0,13.375,0.0,0.0,6.0,7.0,6.0,12.28571429,0.0,11.1,0.6,2.02,-0.29157698314861,1
1,1,1,9500,1,1,126.0,19,19,3,7,-0.22816589784628002,0,0,0,1,0,0,,0.0,7.0,8.0,6.0,13.29666667,0.0,0.0,8.0,9.0,7.0,14.11428571,0.0,11.1,0.6,2.02,-0.5256836078358417,1
